Agency,AwardDescription,Length,,,,
Interrior,"JECA-219033 CONSTRUCTION MANAGEMENT SERVICES, BUILD SAFETY COMPLIANT TOUR STRUCTURES, JEWEL CAVE NATIONAL MEMORIAL, CUSTER, SD",126,,,,
Interrior,NO-COST EXTENSION - FIREWALL INSTALLATION AND LOGGING RECORDER IMPLEMENTATION,77,,,,
Interrior,STRATEGIC VISION AND FINANCIAL MODELING SUPPORT,47,,,,
Interrior,SECURITY GUARD SERVICES. MODIFY TO DEOBLIGATE UDO,49,,,,
Interrior,WOLF TRAP NATIONAL PARK FOR THE PERFORMING ARTS - ASSISTED LISTENING SYSTEMS,76,,,,
Interrior,WOLF TRAP NATIONAL PARK FOR THE PERFORMING ARTS - TASER AND CARTRIDGE,69,,,,
Interrior,"TASK ORDER FOR HISTORIC STRUCTURE REPORT OF THE WAGONSELLER FARM TO INCLUDE THE MAIN HOUSE, SPRING HOUSE, AND BARN LOCATED AT VALLEY FORGE NATIONAL HISTORICAL PARK.",164,,,,
Interrior,BK RADIOS FOR CONGAREE NATIONAL PARK,36,,,,
Interrior,LOMI FY20 OPERATIONS PLANNING,29,,,,
Interrior,PROJECT TITLE: CROW CREEK QUARTERS RENOVATION PROJECT  BACKGROUND: THE BUREAU OF INDIAN AFFAIRS HAS A REQUIREMENT TO REMEDIATE TWO GOVERNMENT QUARTERS THAT HAVE BEEN CONTAMINATED BY METHAMPHETAMINES.  THE TRIBE DOES NOT HAVE THE OPTION TO CONTRACT,247,,,,
Interrior,"COMPUTER SECURITY MONITORING, INCIDENT RESPONSE, AND SECURITY ENGINEERING SUPPORT FOR INDIAN AFFAIRS (IA)",105,,,,
Interrior,"MOD #1 FOR DE-OBLIGATION IN THE AMOUNT OF $17,920.00",52,,,,
Interrior,DARPA-BAA-HR001117S0025 AMBIIENT PROGRAM - RESEARCH AND DEVELOPMENT CONTRACT FOR MICROSYSTEMS TECHNOLOGY OFFICE,111,,,,
Interrior,"SOAR TECHNOLOGY, ISOLATE - INTELLIGENT SENSING TO PROBE AND LOCALIZE ADVERSARIES IN THREATENING ENVIRONMENTS",108,,,,
Interrior,MODIFIED COMMERCIAL AIRCRAFT SERVICES IN SUPPORT OF NAVSEA PEO INTEGRATED WARFARE SYSTEMS (IWS) TEST AND EVALUATION (T&E),121,,,,
Interrior,MOTORIZED FOUR OVERHEAD DOORS,29,,,,
Interrior,CANM PAVEMENT REPLACE PHASE 1,29,,,,
Interrior,DEAN S DAM RECONSTRUCTION,25,,,,
Interrior,"NCRO 251176 BUILDING RENOVATION; NCR REGIONAL HEADQUARTERS, NCR CAMPUS, HAINS POINT, WASHINGTON, DC  THE PURPOSE OF MOD P00002 IS FOR KITCHENETTE EQUIPMENT, ACM ABATEMENT FIREPROOFING AND ACM ABATEMENT ROOF",206,,,,
Interrior,NACE 242190 LEGACY GALLERY EXHIBITS DESIGN,42,,,,
Interrior,NCR-NAMA: TRASH REMOVAL SERVICES SW EPP JEFF GM; MLK FDR WPP; UPTOWN MID; UPTOWN NORTH; MON CORE,96,,,,
Interrior,NCR-NAMA: TRASH REMOVAL SERVICES MALL,37,,,,
Interrior,"HISTORIC JAIL RESTORATION, WWII VALOR IN THE PACIFIC NATIONAL MONUMENT, TULE LAKE UNIT, LOCATED IN NEWELL, CALIFORNIA.  THIS MODIFICATION DIRECTS THE CONTRACTOR TO COMPLETE SUPPLEMENTAL IN-SCOPE WORK, AND PROVIDES AN EQUITABLE ADJUSTMENT.",238,,,,
Interrior,THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE CONTRACT COMPLETION DATE.,75,,,,
Interrior,TOP OF HOOVER DAM PEDESTRIAN SAFETY,35,,,,
Interrior,SLV-CB REC POWER FOR PROJECT,28,,,,
Interrior,"SERVICE, GROUNDWATER MONITORING, SLBE",37,,,,
Interrior,DELIVERY OF PROPANE TO TANKS THROUGHOUT OZARK NSR,49,,,,
Interrior,X:NOGRN PORTABLE TOILET NEEDS FOR MOUNT RUSHMORE NATIONAL MEMORIAL - COVID-19 RESPONSE MODIFICATION #1 TO DEOBLIGATE FUNDS REMAINING ON CLIN 10 AFTER FINAL INVOICE.,164,,,,
Interrior,"X:NOGRN PORTABLE TOILET NEEDS FOR STURGIS RALLY 2020, MOUNT RUSHMORE NATIONAL MEMORIAL",86,,,,
Interrior,"ARCHITECT-ENGINEER SERVICES RELATING TO TITLE II FINAL DESIGN DEVELOPMENT AND CONSTRUCTION DOCUMENTS, VISITOR CENTER REHABILITATION, LEWIS AND CLARK NATIONAL HISTORIC PARK, ASTORIA OR(PMIS 224445). THE PURPOSE OF THIS NO-COST BILATERAL MODIFICATION I",250,,,,
Interrior,"X:NOGRN  THIS MODIFICATION IS TO CANCEL THIS ORDER,140P8420F0035, AS THE QUOTE SUBMITTED FOR A BACK UP GENERATOR FOR WHIS IS FAULTY, AS THE RFQ WAS ISSUED ON GSA AND THE VENDOR SUBMITTED AN OPEN MARKET QUOTE ON GSA, RATHER THAN A QUOTE FROM THEIR GSA",250,,,,
Interrior,INSPECTION ALTERNATIVES STUDY,29,,,,
Interrior,JANITORIAL SERVICE FOR THE YUMA AREA OFFICE,43,,,,
Interrior,NGWSP BLOCK 9 THROUGH 11,24,,,,
Interrior,"G:ESTAR, THE PURPOSE OF MODIFICATION P00005 IS TO DE-OBLIGATE REMAINING BALANCE",79,,,,
Interrior,EXERCISING OPTION YEAR 1,24,,,,
Interrior,MOD TO CLOSE OUT,16,,,,
Interrior,DELL/EMC UNITY SAN - MOD P00001 IS TO DE-OBLIGATE UNEXPENDED FUNDS,66,,,,
Interrior,"HVAC SYSTEM UPGRADES AND PARTS FOR BIA, CHEYENNE RIVER AGENCY",61,,,,
Interrior,"MOBILE WIRELESS SERVICES FOR BIA, OJS, STANDING ROCK AGENCY",59,,,,
Interrior,MULTI FUNCTION PRINTER,22,,,,
Interrior,MOD#4 DUE TO ADMINISTRATIVE ERROR TO CORRECT THE TYPE OF CONSULTING SERVICES.,77,,,,
Interrior,PROPANE DELIVERY FOR CRYSTAL BOARDING SCHOOL IN ACCORDANCE WITH THE STATEMENT OF WORK,85,,,,
Interrior,MOD #1 FOR DE-OBLIGATION IN THE AMOUNT OF $264.65,49,,,,
Interrior,SAFETY&SECURITY SERVICES,24,,,,
Interrior,COPIER LEASE AND MAINTENANCE SERVICES FOR RED ROCK DAY SCHOOL.,62,,,,
Interrior,PROVIDE WHEELCHAIR LIFT LEASE AND MAINTENANCE SERVICE FOR CHEYENNE EAGLE BUTTE SCHOOL.,86,,,,
Interrior,"DAIRY PRODUCTS FOR BIE-BACA SCHOOL, PREWITT, NM",47,,,,
Interrior,JOHN DEERE GATOR ROCKY RIDGE,28,,,,
Interrior,HI-JAMES CAMPBELL NWR-MONITORING&ASSES,38,,,,
Interrior,CA-ARD FISH&ACQUATIC CON-HATCHERY DATA,38,,,,
Interrior,CBP TASK 3 CHIRICAHUA LEOPARD FROG,34,,,,
Interrior,DETROIT RIVER EAST LINED STORM WATER POND,41,,,,
Interrior,"DETROIT RIVER T&M FOR MAY-COMPLETION OF MISC. ITEMS, WEST POND CHANGE, OTHER T&M ITEMS",86,,,,
Interrior,"FL,ARTHUR MARSHALL LOXAHATCHEE NWR,AMMO ARTHUR R MARSHALL LOXAHATCHEE N 10216 LEE ROAD, BOYNTON BEACH FL 33473",110,,,,
Interrior,"LA-SLR-AMMUNITION; THROUGH 30 MM SOUTHEAST LOUISIANA REFUGES, 61389 HIGHWAY 434, LACOMBE LA 70445-2667",102,,,,
Interrior,NC-MATTAMUSKEET NWR-EXCAVATOR REPAIR,36,,,,
Interrior,OR-FORENSIC LAB-MIDEQ DNA SEQUENCER,35,,,,
Interrior,DESIGN AND FABRICATE BOX CULVERT,32,,,,
Interrior,REPAIR LOWER BLACK BRANCH BRIDGE,32,,,,
Interrior,WATER SYSTEM LEAK DETECTION-JONES HOLE NFH,42,,,,
Interrior,AMMUNITION FOR FIREARMS SAFETY,30,,,,
Interrior,PORTABLE AIR COMPRESSOR FOR THE KLAMATH BASIN AREA OFFICE.,58,,,,
Interrior,"FASTMARKETS  POP 08/23/2020-08/22/2022 SCRAP FOR 3 USERS, MINOR METALS FOR 3 USERS,&, AMM NEWS FOR 6 USERS. IN THE BASE YEAR MB NEWS FOR 2 USERS ALSO INCLUDES AT NO COST .  FOR OYI: THE DATA LICENSE FOR INDUSTRIAL MINERALS AND IM NEWS WIL",238,,,,
Interrior,GEOMAGNETISM OBSERVER FOR NEWPORT MAGNETIC OBSERVATORY.,55,,,,
Interrior,GSN PTCN SEISMIC STATION SUPPORT SERVICES,41,,,,
Interrior,PURCHASE REQUEST OF CRESCENT STANDARDS,38,,,,
Interrior,STUDENT SERVICES CONTRACTOR,27,,,,
Interrior,STUDENT SERVICES,16,,,,
Interrior,KKTR PORTABLE RESTROOM RENTAL/SERVICING,39,,,,
Interrior,"350 TONS GRASS HAY AND 2,500 TONS ALFALFA HAY FOR LITCHFIELD WILD HORSE AND BURRO FACILITY",90,,,,
Interrior,PRESCRIBED FIRE SMOKE PERMIT FEES,33,,,,
Interrior,NMSO - ALTERATION OF WORKSTATION,32,,,,
Interrior,TFD - REPLACE T-CASE I620465,28,,,,
Interrior,TRUCK BED - BETTERMENT I622995,30,,,,
Interrior,"PREVENTATIVE AND REMEDIAL MAINTENANCE FOR GRAND TETON NATIONAL PARK FACILITIES.  MODIFICATION 0003: CHANGE BUYER TO SHARON LAROSA, CHANGE CONTRACTING OFFICER TO MOLLY LYNAM, CHANGE COR TO CARLA WALDEN.",201,,,,
Interrior,"MODIFICATION P00003: CHANGE THE BUYER TO SHARON LAROSA, CHANGE THE CONTRACTING OFFICER TO MOLLY LYNAM",101,,,,
Interrior,"REFURBISH 1995 PIERCE ARROW 65 FOOT TELESQUIRT, O.E.M. #E9334 FOR YELLOWSTONE NATIONAL PARK - MODIFICATION 2 ISSUED AS DEFECTS WERE FOUND DURING AN INSPECTION OF THE APPARATUS.",176,,,,
Interrior,"SERVICE, HAZARD TREE REMOVAL FOR NPS, KINGS MOUNTAIN NMP",56,,,,
Interrior,REPAIR THE FOUNDATION OF THE TWO BRICK PIERS LEADING TO THE VISITOR CENTER.,75,,,,
Interrior,BLACK POWDER -MOCR HISTORIC WEAPONS PRG,39,,,,
Interrior,BLACK POWDER -MOCR HISTORIC WEAPONS PRG,39,,,,
Interrior,"SERVICE, REPLACE MAINTENANCE YARD FENCE, BISCAYNE NATIONAL PARK - THE PURPOSE OF THIS MODIFICATION IS TO ADD ADDITIONAL FUNDS FOR SUPPLEMENTAL WORK WITHIN THE SCOPE IAW FAR 52.212-4(C) CHANGES. ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",241,,,,
Interrior,PURCHASE OPEN MARKET AMMUNITION FOR LE DIVISION AND NATURAL RESOURCE MANAGEMENT FOR BADLANDS NATIONAL PARK - FY20,113,,,,
Interrior,"X:NOGRN, INSTALL EMERGENCY EQUIPMENT IN CHARGER",47,,,,
Interrior,"OTHER, OBJECT CONDITION SURVEY/STABILIZATION",44,,,,
Interrior,"INSTALL ROOFING ON 4 BUILDINGS, MOJAVE NATIONAL PRESERVE",56,,,,
Interrior,"SOIL BINDER APPLICATION, KELSO DUNES ROAD, MOJAVE NATIONAL PRESERVE",67,,,,
Interrior,"REPLACE FLOORING&INTERIOR PAINTING IN FEE&FIRE BUILDING, LAKE MEAD NATIONAL RECREATION AREA",91,,,,
Interrior,"PREVENTIVE MAINTENANCE OF HVAC SYSTEMS, AMERICAN MEMORIAL PARK",62,,,,
Interrior,PUHO - AV UPGRADES AT AMPHITHEATER,34,,,,
Interrior,COVID TESTING MACHINE FOR YOSEMITE MEDICAL CLINIC.,50,,,,
Interrior,2020- UWIN PROJECT WILDLIFE CAMERAS,35,,,,
Interrior,AWARD OF RIRIE RESERVOIR MITIGATION,35,,,,
Interrior,MINIDOKA LAKE WALCOTT DOMESTIC WATER WELL PUMP REPLACEMENT,58,,,,
Interrior,NCAO STONY GORGE UNLEADED FUEL,30,,,,
Interrior,RELOCATE COMMUNICATION LINES AT FLAMING GORGE DAM,49,,,,
Interrior,SLOPE STABILITY SOFTWARE PERPETUAL LICENSE WITH 1 NEW YEAR MAINTENANCE SUPPORT,78,,,,
Interrior,RG - SCANNING AND DIGITIZATION TASK ORDER- P00002 EXTEND POP,60,,,,
Interrior,THIS TASK ORDER IS TO IMPLEMENT AND MAINTAIN COMPLIANCE WITH FEDERAL INFORMATION SECURITY MANAGEMENT ACT (FISMA) REQUIREMENTS.,126,,,,
Interrior,TASK ORDER R16PC00173 EMS SUPPORT SERVICES,42,,,,
Interrior,CISCO SWITCH HARDWARE REFRESH - ADMINISTRATIVE CHANGE CONTRACTING OFFICER,73,,,,
Interrior,VMWARE SOFTWARE SUPPORT RENEWAL,31,,,,
Interrior,"MOD #10 FOR DE-OBLIGATION IN THE AMOUNT OF $87,551.48",53,,,,
Interrior,"ONLINE SUBSCRIPTION FOR ENVIRONMENTAL AND ENERGY POLICIES, LEGISLATION, AND NEWS",80,,,,
Interrior,"ADVISORY SERVICES FOR NURSERY CROP INSURANCE PROGRAM FOR SUBTROPICAL PLANTS  TOTAL CONTRACT CEILING FOR ALL FIVE YEARS, IF ALL OPTIONS ARE EXERCISED, IS $94,000.",161,,,,
Interrior,MULTI-FACTOR AUTHENTICATION SOLUTION SOFTWARE,45,,,,
Interrior,JANITORIAL SERVICES SNLNWR V. C.,32,,,,
Interrior,USFWS R1 UMATILLA NWR - HUNT STATION SUPPORT,44,,,,
Interrior,TABLE TOP REPEATER COMM SITE,28,,,,
Interrior,BLM AMFO PLOTTER LEASE,22,,,,
Interrior,JANITORIAL/CUSTODIAL SERVICES AT HAWAII VOLCANOES NATIONAL PARK HEADQUARTERS BLDG. 41. MODIFICATION NO. 04-DEOBLIGATION/CLOSEOUT,128,,,,
Interrior,HAPPY VALLEY PHONE SERVICE - OPTION YEAR 4,42,,,,
Interrior,MOD 2 - NO COST W/IN SCOPE CHANGES TO SPEC.,43,,,,
Interrior,MOD #2 FOR DE-OBLIGATION IN THE AMOUNT OF $526.27,49,,,,
Interrior,"DESIGN BUILD PORCUPINE DAY SCHOOL, SD, STRUCTURAL REPAIRS/DEFICIENCY REPAIRS/SEWER SYSTEM ASSESSMENTS.",102,,,,
Interrior,"UTE MTN ADULT CORR,SOUTHERN PUEBLOS AGENCY, NORTHERN PUEBLOS AGENCY, DISTRICT IV, MESCALERO AGENCY&UTE MTN POLICE",113,,,,
Interrior,ENVIRNMTAL SITE ASSMENT SVCS CHEMAWA SCH,40,,,,
Interrior,"SALIENT CHARACTERISTICS FOR A COSTING, PLANNING AND BUDGETING TOOL FOR IBC/EFMO (ENTERPRISE FINANCIAL MANAGEMENT OFFICE)",120,,,,
Interrior,DOI RADIO LABORATORY TESTING SUPT SERV,38,,,,
Interrior,DARPA STO RADAR AND SENSORS TECHNICAL AND ADMINISTRATIVE SUPPORT,64,,,,
Interrior,IDIQ D17PC00100 - TASK ORDER 4_MRRIC CHAIR_MODIFICATION P00004,62,,,,
Interrior,ON-CALL AIR TACTICAL FLIGHT SERVICES IN SUPPORT OF THE DEPARTMENT OF THE INTERIOR (DOI) FIRE SUPPRESSION,104,,,,
Interrior,ON-CALL AIR TACTICAL FLIGHT SERVICES IN SUPPORT OF THE DEPARTMENT OF THE INTERIOR (DOI) FIRE SUPPRESSION,104,,,,
Interrior,ON-CALL AMPHIBIOUS SINGLE ENGINE AIR TANKER IN SUPPORT OF BLM FIRE SUPPRESSION,78,,,,
Interrior,NATIONWIDE L-48 SINGLE ENGINE AIR TANKER,40,,,,
Interrior,CHIS NP PERSONNEL TRANSPORT IN SUPPORT OF MSRP PROJECT,54,,,,
Interrior,FIXED WING FLIGHT SERVICES IN SUPPORT OF DOI ALASKA POINT TO POINT AND SPECIAL USE ACTIVITIES.,94,,,,
Interrior,"EXCLUSIVE USE FIXED WING SMOKEJUMPER, FIRE SUPPORT SERVICES FOR BLM, ALASKA.",76,,,,
Interrior,"HELICOPTER FLIGHT SERVICES IN SUPPORT OF DOI ALASKA/HI USING SMALL, MEDIUM TURBINE OR RECIPROCATING AIRCRAFT",108,,,,
Interrior,FIXED WING FLIGHT SERVICES IN SUPPORT OF DOI ALASKA POINT TO POINT AND SPECIAL USE ACTIVITIES.,94,,,,
Interrior,SALT PLAINS NWR EXHIBITS AND PANELS THE PURPOSE OF THIS NO COST MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE END DATE TO 12/30/2020.  ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.,188,,,,
Interrior,"SALT PLAINS PANELS FIFTEEN (15) 24""X36"" INTERPRETIVE AND INFORMATIONAL PANELS  THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE END DATE TO 12/30/2020. ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",222,,,,
Interrior,MOD 2 TO ADD PERCOLATION TEST FOR SEPTIC OFF A TASK ORDER FOR MINGO MAINTENANCE BLDG DESIGN OFF A/E IDIQ CONTRACT,113,,,,
Interrior,SUPPLY:      CO-FWS ASST RD-FISHERIES-STANDARD LAPTOP,53,,,,
Interrior,SUPPLY:     HI-OAHU NATIONAL WILDLIFE REFUGE-PREMIUM,52,,,,
Interrior,SUPPLY:     ND-FWS KULM WMD-STANDARD DESKTOP,44,,,,
Interrior,SUPPLY:     ND-FWS MO RIV-PREMIUM LAPTOP,40,,,,
Interrior,SUPPLY:     CA MODOC NWR GIS LAPTOPS,36,,,,
Interrior,SUPPLY:     CA-MODOC NWR-DESKTOP,32,,,,
Interrior,ENG&WTR ALL-IN-ONE COPIER LEASE,31,,,,
Interrior,20-LQ00-2353 TELEDYNE CARIS DANFORTH,36,,,,
Interrior,HUMAN RESOURCES SUPPORT SERVICES TASK ORDER 3,45,,,,
Interrior,IDIQ-NSA GEN BIOL II,20,,,,
Interrior,IDIQ-NSA RESEARCH SCIENTIST I,29,,,,
Interrior,IDIQ-NSA RESEARCH SCIENTIST I,29,,,,
Interrior,HUMAN RESOURCES SUPPORT SERVICES TASK ORDER 4,45,,,,
Interrior,FY20 REQ# 13407 PO OTT EXT REPAIR,33,,,,
Interrior,ARUBA WIRELESS MAINT,20,,,,
Interrior,EARTHVISION SOFTWARE LICENSES RENEWAL,37,,,,
Interrior,DE-OBLIGATION OF UNUSED FUNDS,29,,,,
Interrior,MICROPLATE FLUORESCENCE ASSAY SYSTEM,36,,,,
Interrior,SCASII TASK ORDER #34 - CONTINUATION OF MIDS CONVERSION - ADMIN MOD,67,,,,
Interrior,SCASII TASK ORDER #48 -  MIDS CONVERSION SUPPORT,48,,,,
Interrior,"A-RA-10-BLM-MOUNTAIN HOME, ID",29,,,,
Interrior,PROCUREMENT OF THREE 4-SEATER UTV'S,35,,,,
Interrior,TFD FUELS CULTURAL INVENTORIES 2020,35,,,,
Interrior,BLM CO LSFO ROADS IDR TASK ORDER 1,34,,,,
Interrior,PRB MASTICATION PHASE 2  THIS ORDER INCLUDES 1023 ACRES,55,,,,
Interrior,SHERWOOD PHASE II FUELS REDUCTION,33,,,,
Interrior,"IMRO A&E MINIMUM GUARANTEE IDIQ'S. THE GOVERNMENT'S MINIMUM GUARANTEE OF $2,000 HAS BEEN MET WITH THE AWARD OF TASK ORDER 140P1420F0092.  THEREFORE THIS MODIFICATION CANCELS THIS TASK ORDER.",190,,,,
Interrior,INTERMOUNTAIN REGIONAL OFFICE - IT CONSOLIDATED BUY #32,55,,,,
Interrior,WATER TESTING EQUIPMENT FOR YELLOWSTONE NATIONAL PARK,53,,,,
Interrior,"FRST 240745 - REHABILITATION OF THE HISTORIC SHERIFF'S HOUSE, FIRST STATE NATIONAL HISTORIC PARK, DELAWARE - MODIFICATION P00005 TO ADD PROJECT DESIGN FOR: WATERLINE PACKAGE SPLIT OUT  $7,000 ADDITIONAL ELECTRONIC SECURITY  $4,000 BASEMENT AR",242,,,,
Interrior,CHOH 241450 - IMPROVE VISITOR SAFETY AND REMEDIATE ROCK FALL HAZARDS AT MILEPOST 155.5 (PAW PAW TUNNEL)MOD 02 EXTEND POP,120,,,,
Interrior,NR-ARD - GPMP - OPT TASK 14 - RANGELY,37,,,,
Interrior,NCR-NAMA:LANDSCAPE MAINT MONUMENTAL CORE,40,,,,
Interrior,"ROCK CREEK PARK - DELIVERY ORDER FOR LAPTOPS, TOWER SERVER AND DOCKS",68,,,,
Interrior,SHEN - PROPANE - MODIFICATION 2 IS TO CORRECT WRONG UPC CODE,60,,,,
Interrior,WEPA - VOIP UPGRADE AND MIGRATION,33,,,,
Interrior,NERO - 3RD QTR LAPTOPS,22,,,,
Interrior,MT MINSI REPEATER&DISPATCH GROUNDING THIS MODIFICATION IS A NO-COST EXTENSION OF SERVICES.,90,,,,
Interrior,MAVA - FARM COTTAGE ARCHEOLOGY,30,,,,
Interrior,"X:NOGRN, A&E, FOR TITLE I SERVICES - SCHEMATIC DESIGN DEVELOPMENT, TITLE II SERVICES - DESIGN DEVELOPMENT, CONSTRUCTION DOCUMENTS, COST ESTIMATES, AND SUPPLEMENTAL SERVICES FOR SPECIAL CONSULTANTS FOR STIETENROTH BUILDING SYSTEMS AT FORT ROSALIE",245,,,,
Interrior,"LEASE ONE MULTIFUNCTIONAL DEVICE, OERI",38,,,,
Interrior,"X:NOGRN; SUPPLY, PURCHASE 22 CONCRETE PICNIC TABLES FOR BISCAYNE NATIONAL PARK",78,,,,
Interrior,"EPREF, IT HARDWARE REQUIREMENTS FOR JEFF FOR FY20 1ST CYCLE.",60,,,,
Interrior,PURCHASE .40 CAL DUTY AMMUNITION - FY20 ORDER - CUVA LE DIVISION,64,,,,
Interrior,PURCHASE 9MM DUTY AMMUNITION - FY20 ORDER - CUVA LE DIVISION,60,,,,
Interrior,PURCHASE 5.56 DUTY AMMUNITION - FY20 ORDER FOR CUVA LE DIVISION,63,,,,
Interrior,TO PURCHASE A WATER/SEWER INSPECTOR KIT FOR INSPECTING UNDERGROUND WATER LINES,78,,,,
Interrior,PURCHASE 9MM AMMUNITION FOR LE DIVISION - FY20 ORDER FOR BADLANDS NATIONAL PARK,79,,,,
Interrior,PURCHASE .40 CAL AMMUNITION - LE DIVISION FY20 ORDER FOR BADLANDS NATIONAL PARK,79,,,,
Interrior,PURCHASE .223 AMMUNITION - FY20 ORDER FOR CUVA LE DIVISION,58,,,,
Interrior,"SAMPLING AND ANALYSIS PLAN, HONOULIULI NATIONAL HISTORIC SITE, HAWAII MODIFICATION NO. 01-NO COST TIME EXTENSION",112,,,,
Interrior,"X:NOGRN, MODIFICATION 5: DE-OBLIGATE $0.13 TO LIQUIDATE EXCESS FUNDS AFTER FINAL PAYMENT AS PART OF CONTRACT CLOSE-OUT. MODIFICATION 4: ADDITIONAL WORK WITHIN SCOPE AND EXTENDED PERIOD OF PERFORMANCE. MODIFICATION 3: ADDITIONAL WORK WITHIN SCOPE AS R",250,,,,
Interrior,"OLYM - SPILL PREVENTION, CONTROL AND COUNTERMEASURE (SPCC) PLAN.  MODIFICATION P00001",85,,,,
Interrior,"PRESCRIBED FIRE MODULES TASK ORDER, CRATER LAKE NATIONAL PARK, KLAMATH COUNTY, OREGON.  THIS MODIFICATION EXTENDS THE DELIVERY DATE OF LINE ITEM 00010 THROUGH JUNE 30, 2021.  ADDITIONAL TIME IS NECESSARY DUE TO EXTREME DROUGHT WEATHER IN THE SOUTHE",248,,,,
Interrior,"TITLE I SERVICES, REHABILITATE ASH MOUNTAIN HELIPORT, SEQUOIA KINGS CANYON NATIONAL PARKS, CALIFORNIA",101,,,,
Interrior,R22B ELECTRICAL POWER AT PUMPING PLANT 2,40,,,,
Interrior,CUTTER LATERAL WATER TREATMENT PLANT DESIGN AND CONSTRUCTION.,61,,,,
Interrior,ON-CALL AIR TACTICAL FLIGHT SERVICES IN SUPPORT OF THE DEPARTMENT OF THE INTERIOR (DOI) FIRE SUPPRESSION,104,,,,
Interrior,HOSTED STREAMING VIDEO SOLUTION,31,,,,
Interrior,INFOTECH SUBSCRIPTION (SILVER LARGE LICENSE),44,,,,
Interrior,NEURAL ENGINEERING AND BIOMEDICAL DEVICES TECHNICAL AND ADMINISTRATIVE SUPPORT,78,,,,
Interrior,GEOGRAPHIC INFORMATION SYSTEMS (GIS) SW MAINTENANCE RENEWAL FOR THE DEFENSE MANPOWER DATA CENTER (DMDC),103,,,,
Interrior,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY (DARPA)/BIOLOGICAL TECHNOLOGIES OFFICE (BTO) NEUROSCIENCE TECHNICAL AND ADMINISTRATIVE SUPPORT,136,,,,
Interrior,HR COPIER LEASE,15,,,,
Interrior,EARTH OBSERVATION ELICITATION ASSESSMENT PROJECT,48,,,,
Interrior,USGS HELP DESK TECHNICAL SUPPORT SERVICES TO INCREASE WORKFLOW FOR DENVER.,74,,,,
Interrior,"DEOBLIGATION OF IDIQ HID LAND CLEARING MINIMUM GUARANTEE OF $25,000.00",70,,,,
Interrior,"MOD NO. 08 - DEOBLIGATION/CLOSEOUT  CONDUCT ARCHEOLOGICAL INVENTORY SURVEY AND PREPARE NATIONAL REGISTER OF HISTORIC PLACES REGISTRATION FORM, ALA KAHAKAI NATIONAL HISTORIC TRAIL, HAWAII",186,,,,
Interrior,CIJC TOWAOC JV IT SERVICE FY 19,31,,,,
Interrior,DELIVERY ORDER TERMINATION FOR CONVENIENCE OF THE GOVERNMENT AT ZERO COST.  REASON: FAILURE TO PERFORM.,103,,,,
Interrior,TELEPHONE SERVICES FOR CROWNPOINT COMMUNITY SCHOOL ADD FUNDING,62,,,,
Interrior,EDUCATION NATIVE AMERICAN NETWORK TRANSPORT SERVICES FOR BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION,112,,,,
Interrior,COMPUTERS FOR BIA DEMD,22,,,,
Interrior,TECH REFRESH FOR BIA OIMT,25,,,,
Interrior,LATITUDE 5501 - TMES,20,,,,
Interrior,LATITUDE 7400 2-IN-1 - TMES,27,,,,
Interrior,C-EB STUDENT CHROMEBOOKS (COVID-19),35,,,,
Interrior,MODEL A 7210 2 IN 1,19,,,,
Interrior,INFORMATION TECHNOLOGY (IT) INFRASTRUCTURE SERVICES FOR THE INTERNATIONAL TRADE ADMINISTRATION (ITA),100,,,,
Interrior,FY20024 EMAIL ADD SME / O365 SME,32,,,,
Interrior,NCI-20-003 DR.OBERDOERFFER MASS SPECTROMETER INSTALLATION,57,,,,
Interrior,NETROUNDS SOLUTIONS REPLACEMENT AND SUPPORT,43,,,,
Interrior,HARDWARE MAINTENANCE FOR DELL SERVERS,37,,,,
Interrior,VERIZON CELLULAR SERVICE FOR IBC,32,,,,
Interrior,"NCI-20-080 ""CCR FACS CORE LAB C130A FEASIBILITY STUDY""",54,,,,
Interrior,CISCO NETWORK EXPANSION,23,,,,
Interrior,OST - GENERAL ACCOUNTING,24,,,,
Interrior,ON-CALL SEAT FLIGHT SRVICES,27,,,,
Interrior,NATIONWIDE L-48 SINGLE ENGINE AIR TANKER,40,,,,
Interrior,NATIONWIDE L-48 SINGLE ENGINE AIR TANKER,40,,,,
Interrior,FLEET AIRCRAFT MAINTENANCE AND REPAIRS,38,,,,
Interrior,FLEET AIRCRAFT MAINTENANCE AND REPAIRS,38,,,,
Interrior,"HELICOPTER FLIGHT SERVICES IN SUPPORT OF DOI ALASKA/HI USING SMALL, MEDIUM TURBINE OR RECIPROCATING AIRCRAFT",108,,,,
Interrior,"HELICOPTER FLIGHT SERVICES IN SUPPORT OF DOI ALASKA/HI USING SMALL, MEDIUM TURBINE OR RECIPROCATING AIRCRAFT",108,,,,
Interrior,"FEDEX DOMESTIC DELIVERY SERVICE FOR STERLING, VA AND CAMARILLO, CA REGION",73,,,,
