awarding_agency_name,award_description
DEPARTMENT OF THE INTERIOR (DOI),CONSULTING SUPPORT TO THE AIR FORCE RESEARCH LABORATORY (AFRL) SMALL BUSINESS INNOVATION RESEARCH/SMALL BUSINESS TECHNOLOGY TRANSFER (SBIR/STTR)PROGRAM
DEPARTMENT OF DEFENSE (DOD),DEFENSE EXPERIMENTATION USING COMMERCIAL SPACE INTERNET
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"UNITED STATES PERSONAL SERVICES CONTRACT IN SUPPORT OF THE OFFICE OF TRANSITION INITIATIVES,  PROGRAMS, LEARNING AND INNOVATION DIVISION AND ITS OBJECTIVES."
DEPARTMENT OF HOMELAND SECURITY (DHS),"IGF::CL,CT::IGF. PSO SERVICES IN SAN DIEGO, CA."
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF CORPORATE OPERATIONS SUPPORT SERVICES IN THE AREAS OF HUMAN RESOURCES AND SECURITY FUNCTIONS
DEPARTMENT OF COMMERCE (DOC),IGF::CT::IGF SERVICES OF ONE (1) MANAGEMENT ANALYST = SERVICES OF ONE (1) HUMAN RESOURCES SPECIALIST.
DEPARTMENT OF HOMELAND SECURITY (DHS),HOSTED AUTO-DIALER SERVICES TO SUPPORT HURRICANE DELTA
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),MANUFACTURING OF A COLON-DELIVERY FORMULATION PLATFORM OF METRONIDAZOLE FOR TREATING CLOSTRIDIUM DIFFICILE INFECTION
DEPARTMENT OF DEFENSE (DOD),LABOR - MUOS AND WIN10 UPGRADE - OPM
GENERAL SERVICES ADMINISTRATION (GSA),"AWARD TO NOBLIS, INC."
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF COMPRHENSIVE LONG-TERM ENVIRONMENTAL ACTION NAVY (CLEAN IV) FOR NAVAL FACILITIES ENGINEERING COMMAND PACIFIC, PEARL HARBOR, HAWAII IP/CE FOR ADDITIONAL INVESTIGATION AT CORAL PITS 1 AND 2 AT KALAELOA"
DEPARTMENT OF DEFENSE (DOD),"200210!025309!1700!BZ005 !NAVAL SEA SYSTEMS COMMAND       !N0002401D7021  !A!N! !N!0002               !20020731!20020930!009683442!009683442!006980080!N!AT&T GOVERNMENT SOLUTIONS, INC!1900 GALLOWS ROAD         !VIENNA              !VA!22182!50000!001!11!WASHINGTON          !DISTRICT OF COLUMBIA  !D.C.      !+000000032750!N!N!000000000000!R499!OTHER PROFESSIONAL SERVICES                       !S1 !SERVICES                      !2000!NOT DISCERNABLE OR CLASSIFIED !541330!E! !5!B!M! !A!D!20060331!B! ! !A! !A!N!U!2!021!B!  !Z!N!Z!  !  !N!C!N! ! ! !C!Z!A!A!000!A!C!N! ! ! ! !    !      !0001!"
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF THE TREASURY (TREAS),IT FINANCIAL MANAGEMENT APPLICATIONS SUPPORT (ITFMAS)
DEPARTMENT OF DEFENSE (DOD),"THE CONTRACTOR SHALL SUPPLY A FULL RANGE OF PROFESSIONAL SUPPORT SERVICES ACROSS THE ELECTRO-OPTIC TECHNOLOGY DIVISION FOR AIRBORNE, MARITIME, AND GROUND ELECTRO OPTICS SYSTEMS. THE SERVICES CONSIST OF NON-PERSONAL ENGINEERING AND TECHNICAL SUPPORT TO INCLUDE: SCIENTIFIC/ENGINEERING ANALYSIS AND STUDIES, TEST AND EVALUATION, TECHNICAL REPAIR SUPPORT, MANAGEMENT SUPPORT SERVICES, AND CONFIGURATION AND DATA MANAGEMENT SUPPORT."
GOVERNMENT ACCOUNTABILITY OFFICE (GAO),CALL ORDER 05GA0A21K0066 ISSUED AGAINST BPA 05GA0A19A0005 IN THE AMOUNT OF $745.50 FOR FEEDER RELAY IN VAULT E.  PERIOD OF PERFORMANCE:  4/30/2021 TO  07/29/2021 OR 3 MONTHS AFTER THE DATE OF AWARD.
DEPARTMENT OF DEFENSE (DOD),"ENGINEERING SERVICES, CET 18-803, CV-22 SILENT KNIGHT RADAR INTEGRATION. THE PURPOSE OF THIS TASK IS TO PERFORM ENGINEERING ANALYSIS, DESIGN, DEVELOPMENT,  AND INTEGRATION OF  THE AN/APQ-187 SILENT KNIGHT RADAR (SKR) ONTO THE CV-22 TO RESOLVE OBSOLESCENCE ISSUES OF THE CURRENT CV-22 MMR, AN/APQ-186."
ENVIRONMENTAL PROTECTION AGENCY (EPA),VIENNA WELLS SUPERFUND SITE OPERABLE UNIT 01 REMEDIAL DESIGN PHASE 2
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF AWARD OF TASK ORDER, 1ST SPECIAL FORCES COMMAND SUSTAINMENT"
DEPARTMENT OF TRANSPORTATION (DOT),IGF::OT::IGF THIS TASK ORDER IS ISSUED TO PROVIDE ARMORED VEHICLE STABILITY ANALYSIS.
DEPARTMENT OF DEFENSE (DOD),TASK ORDER FOR KIL TONE OU2
GENERAL SERVICES ADMINISTRATION (GSA),"IGF::OT::IGF, OTHER FUNCTION TMCC II"
DEPARTMENT OF DEFENSE (DOD),ENGINEERING SERVICES
DEPARTMENT OF DEFENSE (DOD),ONE-NET NETWORK DEVICE REPLACEMENT (NDR) FOR ONE-NET ACCESS LAYER DEVICES AT MULTIPLE SITES OCONUS
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),LARC IV:  TECHNICAL&LOGISTICAL SUPPORT FOR THE NIH LABORATORY ANIMAL RESEARCH CONTRACTS
DEPARTMENT OF HOMELAND SECURITY (DHS),"IGF::CL::IGF PROVIDE TECHNICAL AND ANALYTICAL SUPPORT AND ADVISEMENT ON POLICY AND POLICY IMPLEMENTATION TO ADDRESS EVOLVING RISKS TO INFRASTRUCTURE, INCLUDING INTEGRATING WITH OTHER EXISTING AND POTENTIALLY RELATED POLICY INITIATIVES."
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF SUPPLIES AND SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF TTC-BIO.0057-15; E-587-1984/1-US-03; FISHER; PATENT LEGAL SERVICE
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF LVM-CHM.0048-15; E-157-2012/0-US-04; HRABIE; PATENT LEGAL SERVICE
DEPARTMENT OF DEFENSE (DOD),DAT SUPPORT SERVICES.
DEPARTMENT OF TRANSPORTATION (DOT),IGF::CT::IGF FOR CRITICAL FUNCTIONS THE OBJECTIVES OF THE PMO CONTRACT(S) AWARDED IS TO PROVIDE FTA WITH CONTRACT SUPPORT CAPABLE OF RENDERING CRITICAL PROGRAMMATIC INPUTS FOR A VARIETY OF FTA PROGRAM DECISIONS FOR ITS GRANT PROGRAMS.
DEPARTMENT OF DEFENSE (DOD),"THE CONTRACTOR SHALL SUPPORT THE DARPA SEA TRAIN PHASE 1 AND 2 PROGRAM, WHICH WILL DEVELOP AND DEMONSTRATE APPROACHES TO OVERCOME THE RANGE LIMITATIONS INHERENT IN MEDIUM UNMANNED SURFACE VESSELS BY EXPLOITING WAVE MAKING RESISTANCE REDUCTIONS."
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF AWARD CPFF - BASE PERIOD
DEPARTMENT OF DEFENSE (DOD),"THIS ORDER IS FOR A FIVE (5) YEAR (12 MONTH BASE AND FOUR (4) 12 MONTH OPTIONS) CPFF, COST NO FEE CYBER SECURITY&INFORMATION ASSURANCE (CSIA) DIVISION SUPPORT SERVICES."
DEPARTMENT OF DEFENSE (DOD),"IGF::CT::IGF THE FLIGHT TEST, TELEMETRY, AND TERMINATION (FT3) PROGRAM REPLACES THE ALL ORDNANCE DESTRUCT SYSTEM (AODS) AND THE MOD 7 INSTRUMENTATION WAFER (MOD 7) WITH A FLIGHT TEST KIT.  IN ADDITION, A REPLACEMENT OF THE CURRENT LAUNCH SUPPORT SYSTEM (LSS) IS REQUIRED TO DEPLOY THE FLIGHT TEST KIT.  THE FLIGHT TEST KIT WHICH CONSISTS OF THE FLIGHT DESTRUCT SYSTEM (FDS) AND A WAFERLESS INTEGRATED INSTRUMENTATION SYSTEM (IIS), WILL MEET RANGE SAFETY AND AIR FORCE GLOBAL STRIKE COMMAND (AFGSC) REQUIREMENTS AND RESOLVE OBSOLESCENCE CONCERNS."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"INV-102 FOR THE TREATMENT OF MUSTARD GAS KERATOPATHY UNDER BAA-18-100-SOL-00003, AREA OF INTEREST 5.3."
DEPARTMENT OF THE INTERIOR (DOI),"IGF::OT::IGF GENERAL ANALYSIS TOOLKIT USING RECORD AND REPLAY ""GATOR"""
DEPARTMENT OF LABOR (DOL),IGF::OT::IGF UNIFIED COMMUNICATIONS FIELD IMPLEMENTATION SUPPORT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF AWARD OF THE UNIFIED PROGRAM INTEGRITY CONTRACT (UPIC)SOUTH-WESTERN JURISDICTION (SWJ)
DEPARTMENT OF HOMELAND SECURITY (DHS),TECHNICAL SETA STAFF TO SUPPORT S&T OFFICES AND DIVISION IN THE PHYSICS AND ENGINEERING TECHNICAL DISCIPLINES
DEPARTMENT OF DEFENSE (DOD),MH-47 BLK II POST PRODUCTION
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF NON-HUMAN PRIMATE MAJOR HISTOCOMPATIBILITY COMPLEX ALLELE DISCOVERY AND TYPING TECHNOLOGY DEVELOPMENT
DEPARTMENT OF DEFENSE (DOD),LABOR
DEPARTMENT OF DEFENSE (DOD),NETC RRL ISD SUPPORT
DEPARTMENT OF DEFENSE (DOD),ENGINEERING MAINTENANCE SUPPORT
ENVIRONMENTAL PROTECTION AGENCY (EPA),"THE P2 PROGRAM WORKS WITH BUSINESSES, STATES AND OTHER PARTNERS TO ENCOURAGE AND FACILITATE BUSINESSES TO ADOPT P2 APPROACHES THROUGH THE DEVELOPMENT AND DELIVERY OF P2 INFORMATION AND TOOLS, TECHNICAL ASSISTANCE, THE FUNDING AND FACILITATION OF P2 I"
DEPARTMENT OF DEFENSE (DOD),ENGINEERING AND TECHNICAL SERVICES TO NUWCDIVNPT IN SUPPORT OF THE EVOLUTION AND DEPLOYMENT OF SUBMARINE MULTI-MISSION TEAM TRAINER (SMMTT) AND RELATED SUBMARINE COMBAT SYSTEM TRAINER PRODUCTS AND SYSTEMS.
DEPARTMENT OF DEFENSE (DOD),"NEW BAA - HAPTICS INTEGRATION WITHIN TACTICAL COMBAT CASUALTY CARE (TC3) TRAINING.THE CONTRACTOR WILL ANALYZE, DEVELOP, AND EVALUATE THE USE OF HAPTICS TECHNOLOGIES IN SIMULATED IMMERSIVE TRAINING ENVIRONMENTS."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NEWBORN SCREENING PILOT STUDY FOR PROXIMAL UREA CYCLE DISORDERS (PUCD)
DEPARTMENT OF DEFENSE (DOD),CBISEA SUPPROT USS MICHAEL MURPHY TACNET ENGINEERING SERVICES
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF JUSTICE (DOJ),MEGA5 AUTOMATED LITIGATION SUPPORT SERVICES
ENVIRONMENTAL PROTECTION AGENCY (EPA),"EPA IS SEEKING CONTRACT ASSISTANCE TO PROVIDE ONGOING COMMUNICATIONS AND OUTREACH SUPPORT, AS WELL AS PROGRAM DEVELOPMENT AND OPERATIONS SUPPORT. THIS TASK ORDER WILL FOCUS ON THE ACTIVITIES RELATED TO OUTREACH TO THE CONSUMERS OF WATERSENSE LABELE"
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF DEFENSE (DOD),SESAMI TASK ORDER
DEPARTMENT OF DEFENSE (DOD),COLLABORATIVE ARTIFICAL INTELLIGENCE (AI)  FOR ACCELERATED ENEMY COURSE OF ACTION (ECOA) ASSESSMENT
DEPARTMENT OF HOMELAND SECURITY (DHS),"PRISM HELP DESK, TRAINING, REPORT WRITING"
ENVIRONMENTAL PROTECTION AGENCY (EPA),"TECHNICAL SUPPORT, CONSULTATION, AND ANALYSIS FOR THE UNDERGROUND FIELD CONSTRUCTED TANKS AT THE RED HILL BULK FUEL STORAGE FACILITY"
DEPARTMENT OF DEFENSE (DOD),ENGINEERING SERVICES
DEPARTMENT OF JUSTICE (DOJ),IGF::OT::IGF  SCANNING SUPPORT SERVICES FOR THE OFFICE OF THE CHIEF IMMIGRATION JUDGE (OCIJ)
DEPARTMENT OF DEFENSE (DOD),CVN PACIFIC NORTHWEST PRIVATE SECTOR MAINTENANCE (PSM)
DEPARTMENT OF JUSTICE (DOJ),"CYBER SECURITY ASSESSMENT AND MANAGEMENT (CSAM), AND SECURITY POSTURE DASHBOARD AND REPORTS (SPDR) BPA CALL"
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),QUALITY PAYMENT PROGRAM SMALL UNDERSERVED AND RURAL SUPPORT (QPP-SURS) AWARD IGF::CT::IGF
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),LVM-BIO.0357-18; E-059-2013-0-JP-10; GROS; PATENT LEGAL SERVICE; (BURKE)
DEPARTMENT OF COMMERCE (DOC),TABLEAU VISUALIZATION SUPPORT
DEPARTMENT OF DEFENSE (DOD),SEAPORT ENHANCED
DEPARTMENT OF DEFENSE (DOD),LEARNING ASSET DEVELOPMENT SUSTAINMENT AND SUPPORT (LADSS) TST 303
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF SELF-REGULATION TRAINING APPROACHES AND RESOURCES TO IMPROVE STAFF CAPACITY FOR IMPLEMENTING HEALTHY MARRIAGE PROGRAMS FOR YOUTH (SARHM)
DEPARTMENT OF JUSTICE (DOJ),FUNDING FOR HIGHLY COLLECTABLE DEBT
DEPARTMENT OF AGRICULTURE (USDA),CHILE STUDY TOUR FIRE AND AVIATION TECHNICAL EXPERT  SERVICES FOR FOREST SERVICE IP
DEPARTMENT OF DEFENSE (DOD),ORACLE SUBJECT MATTER EXPERT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF CONTRACEPTIVE CLINICAL TRIALS NETWORK  - CORE FUNCTION ACTIVITIES
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF, ENGINEERING SERVICES, TASK PURPOSE THE PURPOSE OF THIS TASK IS TO PERFORM SYSTEM WIDE DEVELOPMENT, PROTOTYPE FABRICATION AND ASSEMBLY OF KEY SUBSYSTEM COMPONENTS, AND THE DEVELOPMENT OF SYSTEM INTEGRATION AND TEST PLAN."
DEPARTMENT OF DEFENSE (DOD),FY13 SOFTWARE SUSTAINMENT
DEPARTMENT OF TRANSPORTATION (DOT),THIS TASK ORDER IS FOR NATIONAL TRAFFIC INCIDENT MANAGEMENT PROGRAM SUPPORT
DEPARTMENT OF DEFENSE (DOD),ENGINEERING SUPPORT SERVICES
DEPARTMENT OF HOMELAND SECURITY (DHS),"IGF::CT::IGF ""CRITICAL FUNCTIONS - QUALITY ASSURANCE SUPPORT"" COMPONENT: OHA DIVISION: HTR PROGRAM: BIOWATCH PPA: BIOWATCH PROJECT: CHEMICAL, BIOLOGICAL, RADIOLOGICAL, NUCLEAR, AND EXPLOSIVES DETECTION QUALITY ASSURANCE PROGRAM (DQAP) PERFORMER: SIGNATURE SCIENCE LLC"
DEPARTMENT OF DEFENSE (DOD),IGF::CL::IGF
DEPARTMENT OF HOMELAND SECURITY (DHS),PROTECTIVE SECURITY OFFICER (PSO) SERVICES FOR THE STATE OF NEW MEXICO
DEPARTMENT OF DEFENSE (DOD),MC-130J GPS HARDENING ANTI-JAMMING CAPABILITY FOR MC-130J AND EC-130J
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF X004 18 PROPOSAL PREP - KEYPORT AREA 8 MARINE SAMPLI
DEPARTMENT OF DEFENSE (DOD),"AIRBORNE SENSORS (ABS) SUPPORT FOR THE MDA TEST PROGRAM - NEW TASK ORDER FOR HIGH ALTITUDE OBSERVATORY (HALO) FLEET RENEWAL, HALO-II REPLACEMENT (HALO-IIR) AND HALO-III REPLACEMENT (HALO-IIIR), AIRCRAFT PURCHASES ONLY"
DEPARTMENT OF DEFENSE (DOD),ATMOSPHERIC WATER EXTRACTION (AWE)
ENVIRONMENTAL PROTECTION AGENCY (EPA),ESAT R10 - TASK ORDER 6: ANALYTICAL AND LABORATORY SUPPORT FOR CHEMICAL WARFARE AGENT ANALYSIS IGF::CT::IGF
SECURITIES AND EXCHANGE COMMISSION (SEC),"IGF::OT::IGF FOR OTHER FUNCTIONS, SEC PUBLIC SERVICE CAMPAIGN PILOT"
DEPARTMENT OF THE TREASURY (TREAS),DATA MANAGEMENT SUPPORT SERVICES
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF--EW-201718 ""VALIDATING THE DIGITAL LUMENS LED LIGHTING CONTROL RETROFIT"""
DEPARTMENT OF DEFENSE (DOD),FUNDING SLIN FOR CLIN 0003
DEPARTMENT OF DEFENSE (DOD),EXPLOSIVE RISER SCRAP REUSE PROJECT AT IOWA ARMY AMMNUTION PLANT
DEPARTMENT OF ENERGY (DOE),IGF::CL::IGF  EMCBC LITIGATION SUPPORT SERVICES
DEPARTMENT OF JUSTICE (DOJ),STATEMENT PREPARATION SUPPORT FOR FSG
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF  C-130 MAINTENANCE SVCS
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),"THE SUN RADIO INTERFEROMETER SPACE EXPERIMENT (SUNRISE) IS PROPOSED BY UNIVERSITY OF MICHIGAN (UM) IN RESPONSE TO NASA'S 2016 HELIOPHYSICS SMALL EXPLORER (SMEX) ANNOUNCEMENT OF OPPORTUNITY. THIS STATEMENT OF WORK (SOW) DESCRIBES THE WORK TO BE CONDUCTED BY UM DURING THE PHASE A (SUNRISE) PROJECT.  UM SHALL PROVIDE THE NECESSARY PERSONNEL, MATERIALS, EQUIPMENT, AND FACILITIES TO PRODUCE THE SUNRISE PHASE A CONCEPT STUDY REPORT (CSR) THAT ENCOMPASSES: 1. PRINCIPAL INVESTIGATOR PROGRAM OFFICE. 2. INSTRUMENT SYSTEM ENGINEERING, INCLUDING INSTRUMENT MISSION ASSURANCE. 3. DESIGN OF A FLIGHT QUALIFIED SUNRISE INSTRUMENT MEETING MISSION AND SCIENCE REQUIREMENTS. 4. DEVELOP PLANS IN SUPPORT OF INTEGRATION AND TEST OF THE SUNRISE INSTRUMENT FLIGHT SYSTEM. 5. DEVELOP PLANS IN SUPPORT OF ESSENTIAL FIELD OPERATIONS 6. DEVELOP PLANS IN SUPPORT OF LAUNCH OPERATIONS, FLIGHT OPERATIONS. 7. DEVELOP PLANS FOR AND LEAD THE SUNRISE SCIENCE INVESTIGATION, AS WELL AS THE GENERATION OF RESULTING DATA PRODUCTS. UM SHALL PROVIDE A BRIEFING ON THE SUNRISE SCIENCE AND SCIENCE IMPLEMENTATION PLAN AT THE PHASE A SITE VISIT. UM SHALL PROVIDE AN ORGANIZATION CHART DEFINING UM ROLES AND RESPONSIBILITIES, REPORTING PROCEDURES, AND LINES OF AUTHORITY. PARTICIPATE IN DEFINING THE RELATIONSHIPS BETWEEN THE UM PI PROGRAM OFFICE AND THE NASA EXPLORERS PROGRAM OFFICE.. UM SHALL DEVELOP A SUNRISE INSTRUMENT SYSTEMS REQUIREMENTS DOCUMENT AND A SUNRISE MISSION SYSTEMS REQUIREMENTS DOCUMENT. UM SHALL DEVELOP DETAILED BLOCK DIAGRAMS AND TECHNICAL DESCRIPTIONS OF ALL INSTRUMENT SYSTEMS. UM SHALL CONDUCT IN-DEPTH INSTRUMENT-LEVEL REVIEWS OF THE PROPOSED INSTRUMENT DESIGN. CONDUCT ESSENTIAL TRADE STUDIES, ANALYSES, MODELING AND SIMULATIONS TO ASSURE COMPLIANCE WITH INSTRUMENT REQUIREMENTS. UM SHALL LEAD THE SCIENCE TEAM. UM SHALL DEVELOP AN INSTRUMENT-LEVEL TEST PLAN AND PARTICIPATE IN PLANNING FOR INTEGRATION AND TEST. UM SHALL PREPARE A DETAILED INSTRUMENT DEVELOPMENT SCHEDULE COVERING ALL MISSION PHASES, LISTING MAJOR MILESTONES AND INCLUDING A DEFINED CRITICAL PATH AND SCHEDULE RESERVES."
DEPARTMENT OF JUSTICE (DOJ),"IGF::CT::IGF PROGRAM, ADMINISTRATIVE, AND CLERICAL SERVICES BPA CALL"
DEPARTMENT OF DEFENSE (DOD),PCU IDAHO (799) ECS INTEGRATION AT COATS
DEPARTMENT OF THE INTERIOR (DOI),ENHANCEMENTS TO BOEM RE PORTAL CALL ORDER AGAINST BPA 140M0119A0002
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),"THE PRIMARY ACTIVITIES COVERED BY THIS EFFORT INCLUDE THE FINAL SERVICING MISSION AND SUBSEQUENT OPERATIONS THROUGH END-OF-MISSION. THESE ACTIVITIES INCLUDE: A. SCIENCE PROGRAM IMPLEMENTATION INCLUDING: MISSION PLANNING SUPPORT, SCIENCE PROGRAM DEFINITION SUPPORT, MANAGEMENT OF THE PROPOSAL SELECTION, TIME ALLOCATION, AND GRANT AWARD COMMITTEE PROCESSES, AND SCIENCE COMMUNITY OUTREACH. B. ROUTINE SCIENCE OPERATIONS INCLUDING: PROPOSAL GENERATION AND RECEIPT, OBSERVATION PLANNING AND SCHEDULING, UPDATING INSTRUMENT HANDBOOKS, OBSERVING AND USER SUPPORT, DATA PROCESSING AND PRODUCT GENERATION, ARCHIVAL AND DATA DISTRIBUTION SERVICES, CALIBRATION ASSISTANCE AND DATA ANALYSIS, ANOMALY INVESTIGATION SUPPORT, USER GRANT ADMINISTRATION, OBSERVER ASSISTANCE AND ENGINEERING OPERATIONS SUPPORT. C. GROUND SYSTEM SUSTAINING ENGINEERING INCLUDING: SCIENCE OPERATION SYSTEM MAINTENANCE, INFRASTRUCTURE ADMINISTRATION AND SUPPORT, AND DOCUMENTATION MAINTENANCE D. SERVICING MISSION SUPPORT INCLUDING: PREPARATION AND EXECUTION OF THE OBSERVATORY VERIFICATION PROGRAM, INSTRUMENT DEVELOPMENT SUPPORT, AND OPTICAL ALIGNMENT TESTING SUPPORT E. GENERATION OF PERFORMANCE, SCIENCE RETURN, AND OTHER PERTINENT INFORMATIONAL REPORTS TO THE HSTP F. ASTRONOMICAL COMMUNITY AND GENERAL PUBLIC/EDUCATIONAL OUTREACH G. SPECIAL PROJECTS INCLUDING ORIGINS FORUM AND INDEPENDENT RESEARCH THIS CONTRACT INCLUDES AN ADDITIONAL TWO-YEAR PERIOD AFTER THE END OF HST'S SCIENCE-MISSION.  THIS EXTRA TIME FOLLOWING THE CESSATION OF SCIENTIFIC OBSERVATIONS IS FOR TWO YEARS OF FOLLOW-ON ARCHIVAL RESEARCH. DURING THE FINAL TWO YEARS OF THE CONTRACT, ARCHIVAL OPERATIONS AND MAINTENANCE, AN ARCHIVAL RESEARCH PROPOSAL SELECTION PROCESS AND ASSOCIATED GRANT ADMINISTRATION, AND A PUBLIC OUTREACH PROGRAM WILL CONTINUE. DATA ANALYSIS SOFTWARE WILL ALSO BE MAINTAINED BUT AT A LOWER LEVEL OF SUPPORT SUCH THAT ONLY MODEST ENHANCEMENTS MAY STILL BE MADE.  CONTINUING SUPPORT WILL ALSO INCLUDE THE COORDINATION OF DATA ANALYSIS SOFTWARE THAT IS PRODUCED BY THE ASTRONOMICAL COMMUNITY."
PENSION BENEFIT GUARANTY CORPORATION (DOL),FMS-ITSS RELEASE MANAGEMENT
SMALL BUSINESS ADMINISTRATION (SBA),MICROSOFT SERVICE REQUIREMENTS
DEPARTMENT OF DEFENSE (DOD),"ADVANCED COMPUTATIONAL ANALYSIS USED TO IDENTIFY, DEFEAT, AND ASSESS WEAPONS OF MASS DESTRUCTION"
NUCLEAR REGULATORY COMMISSION (NRC),MISSION APPLICATION'S SYSTEM OPERATIONS AND MAINTENANCE
ENVIRONMENTAL PROTECTION AGENCY (EPA),COMPLIANCE ASSISTANCE FOR UNDER-RESOURCED COMMUNITIES AND TRIBES (CIRCUIT RIDER ASSISTANCE)
ENVIRONMENTAL PROTECTION AGENCY (EPA),"PHILIS TASK ORDER # 3 PLANNING & PHILIS UNIT TECHNICAL DOCS, CASTLE ROCK, CO."
DEPARTMENT OF JUSTICE (DOJ),"BRIDGE BLANKET PURCHASE AGREEMENT (BPA) FOR EXECUTIVE, PROFESSIONAL SUPPORT SERVICES FOR THE UNITED STATES MARSHALS SERVICES (USMS)"
DEPARTMENT OF DEFENSE (DOD),IGF::CL::IGF ROBOTIC LASER WIRE ADDITIVE MANUFACTURING SYSTEM WITH COMPREHENSIVE QUALITY ASSURANCE FRAMEWORK
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF DEFENSE (DOD),INTEGRATED LOGISTICS SUPPORT AND CONFIGURATION MANAGEMENT SERVICES
DEPARTMENT OF THE INTERIOR (DOI),WATER RIGHTS POPULATION STUDY FOR SIWRO
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),TASK C11 COMPLETION OF THE SYNTHESIS OF 400 GRAMS OF NON-GMP ANTIBIOTIC CANDIDATE FG-960-2
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF CCL-CHM.0062-15; E-073-2013/0-CA-04; NEWMAN; PATENT LEGAL SERVICE; (TONG)
DEPARTMENT OF DEFENSE (DOD),VIRTUAL COMBAT LABORATORY STUDIES AND ANALYSIS
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"(P20201100) RISK MANAGEMENT ADVISOR, PROGRAM SUPPORT (PS) DIVISION, YR. 1"
DEPARTMENT OF HOMELAND SECURITY (DHS),CONSOLIDATION OF 4 DISPARATE EAGLE II TASK ORDERS PROVIDING SUPPORT TO THE SAME OFFICE
DEPARTMENT OF DEFENSE (DOD),SD N00024-10-R-3202
GENERAL SERVICES ADMINISTRATION (GSA),GUMBALL SENSOR SYSTEM PROCUREMENT
DEPARTMENT OF THE INTERIOR (DOI),WASO-CRAD STLPG/CR GRANT TECH ASST
DEPARTMENT OF HOMELAND SECURITY (DHS),APPLICATION DEVELOPMENT AND OPERATION AND MAINTENANCE SUPPORT SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"BROAD-BASED INFORMATION TECHNOLOGY SERVICES SUCH AS: BUSINESS ANALYSIS SERVICES, REQUIREMENTS DEVELOPMENT AND MANAGEMENT SERVICES, SALES FORCE TECHNICAL SUPPORT, MODELING SERVICES, DATA INTEGRATION SERVICES, AND METADATA MANAGEMENT SERVICES."
DEPARTMENT OF DEFENSE (DOD),ISM DESIGN (PDR)
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF CPFF LABOR - RDT&E
DEPARTMENT OF TRANSPORTATION (DOT),CAPE DOMINGO FY21 REPAIRS B KEY-DMG21-1005B
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),MSC S4 TASK ORDER #58 NIAID
DEPARTMENT OF JUSTICE (DOJ),BPA FOR OJP/COPS PEER REVIEW SUPPORT SERVICES
DEPARTMENT OF TRANSPORTATION (DOT),"THE PURPOSE OF THIS PR REQUEST IS FOR KAL KRISHNAN CONSULTING SERVICES, INC. (KKCS)  TO PROVIDE FTA REGION I TRO(01) WITH PROJECT MANAGEMENT OVERSIGHT SERVICES FOR  THE MBTA PTC PROJECT (TIFIA + RRIF)&GREEN LINE EXTENSION."
